
Date(yyyymmdd)  P-M ET0(mm)
=================================
20200101         2.4
20200102         2.5
20200103         3.1
20200104         3.1
20200105         2.0
20200106         1.8
20200107         0.5
20200108         1.4
20200109         1.9
20200110         2.4
20200111         2.3
20200112         2.0
20200113         2.8
20200114         2.1
20200115         2.1
20200116         2.4
20200117         1.9
20200118         1.0
20200119         2.8
20200120         2.8
20200121         2.1
20200122         2.7
20200123         2.0
20200124         1.1
20200125         1.1
20200126         1.4
20200127         2.4
20200128         2.1
20200129         2.0
20200130         0.8
20200131         0.9
20200201         2.0
20200202         2.2
20200203         2.9
20200204         2.7
20200205         2.2
20200206         1.3
20200207         2.7
20200208         2.0
20200209         2.4
20200210         2.3
20200211         2.7
20200212         1.6
20200213         2.6
20200214         2.2
20200215         1.1
20200216         1.8
20200217         1.9
20200218         2.2
20200219         2.3
20200220         2.4
20200221         2.5
20200222         3.6
20200223         3.7
20200224         3.9
20200225         1.3
20200226         0.6
20200227         1.2
20200228         1.3
20200229         2.1
20200301         1.7
20200302         2.0
20200303         1.8
20200304         3.7
20200305         2.4
20200306         3.0
20200307         2.0
20200308         2.1
20200309         1.9
20200310         1.2
20200311         4.0
20200312         5.5
20200313         3.5
20200314         4.0
20200315         3.4
20200316         3.0
20200317         3.9
20200318         4.8
20200319         6.3
20200320         6.4
20200321         4.4
20200322         4.0
20200323         3.4
20200324         2.7
20200325         2.2
20200326         3.5
20200327         1.2
20200328         3.2
20200329         2.6
20200330         2.9
20200331         2.9
20200401         2.6
20200402         5.2
20200403         6.9
20200404         5.1
20200405         4.0
20200406         4.5
20200407         5.0
20200408         3.3
20200409         3.6
20200410         3.3
20200411         3.7
20200412         2.7
20200413         4.5
20200414         6.8
20200415         4.8
20200416         3.4
20200417         2.4
20200418         2.4
20200419         1.7
20200420         3.4
20200421         5.7
20200422         5.6
20200423         4.9
20200424         6.5
20200425         6.8
20200426         3.3
20200427         3.2
20200428         7.8
20200429         5.9
20200430         6.4
20200501         9.7
20200502         7.9
20200503         5.3
20200504         3.3
20200505         3.2
20200506         3.8
20200507         3.2
20200508         3.2
20200509         1.3
20200510         5.1
20200511        10.2
20200512         6.7
20200513        11.0
20200514         9.2
20200515         3.1
20200516         1.7
20200517         2.3
20200518         1.0
20200519         1.1
20200520         2.1
20200521         3.1
20200522         2.0
20200523         3.1
20200524         3.5
20200525         5.8
20200526         3.9
20200527         6.0
20200528         4.0
20200529         5.0
20200530         4.6
20200531         3.3
20200601         9.1
20200602         4.9
20200603         7.2
20200604         8.8
20200605         4.3
20200606         3.4
20200607         4.7
20200608         6.0
20200609         6.3
20200610         4.8
20200611         6.1
20200612         2.3
20200613         5.8
20200614         7.6
20200615        12.3
20200616         7.4
20200617         5.7
20200618         3.1
20200619         1.7
20200620         3.8
20200621         4.4
20200622         4.9
20200623         3.2
20200624         1.8
20200625         1.9
20200626         5.6
20200627         6.1
20200628         4.1
20200629         2.4
20200630         1.2
20200701         3.6
20200702         5.2
20200703         4.7
20200704         4.7
20200705         5.8
20200706         4.5
20200707         4.4
20200708         4.4
20200709         3.0
20200710         1.6
20200711         2.0
20200712         3.2
20200713         1.8
20200714         2.2
20200715         4.2
20200716         4.7
20200717         4.7
20200718         4.3
20200719         2.4
20200720         5.0
20200721         6.0
20200722         2.4
20200723         1.8
20200724         1.3
20200725         1.1
20200726         2.1
20200727         1.8
20200728         2.1
20200729         2.0
20200730         2.7
20200731         6.0
20200801         3.1
20200802         3.0
20200803         3.6
20200804         2.5
20200805         1.7
20200806         2.3
20200807         2.5
20200808         2.0
20200809         2.2
20200810         3.2
20200811         3.7
20200812         5.4
20200813         4.6
20200814         6.1
20200815         4.9
20200816         4.3
20200817         6.4
20200818         6.3
20200819         7.6
20200820         3.5
20200821         1.7
20200822         1.8
20200823         4.1
20200824         4.0
20200825         5.2
20200826         3.3
20200827         4.2
20200828         3.7
20200829         4.0
20200830         1.8
20200831         2.3
20200901         3.2
20200902         1.4
20200903         5.9
20200904         5.6
20200905         2.3
20200906         1.8
20200907         2.9
20200908         7.8
20200909         3.8
20200910         4.5
20200911         2.3
20200912         1.5
20200913         1.9
20200914         3.5
20200915         3.1
20200916         2.0
20200917         4.2
20200918         6.7
20200919         6.4
20200920         5.0
20200921         4.3
20200922         2.9
20200923         2.7
20200924         2.4
20200925         2.4
20200926         2.4
20200927         2.7
20200928         2.9
20200929         3.1
20200930         2.1
20201001         1.9
20201002         2.6
20201003         2.5
20201004         4.2
20201005         5.5
20201006         3.6
20201007         3.0
20201008         3.1
