
Date(yyyymmdd)  P-M ET0(mm)
=================================
20200101         2.4
20200102         2.5
20200103         3.2
20200104         3.1
20200105         2.1
20200106         1.8
20200107         0.5
20200108         1.4
20200109         1.9
20200110         2.5
20200111         2.3
20200112         2.0
20200113         2.8
20200114         2.2
20200115         2.1
20200116         2.4
20200117         1.9
20200118         1.0
20200119         2.8
20200120         2.8
20200121         2.1
20200122         2.7
20200123         2.0
20200124         1.1
20200125         1.0
20200126         1.4
20200127         2.4
20200128         2.1
20200129         1.9
20200130         0.8
20200131         0.8
20200201         2.0
20200202         2.2
20200203         2.9
20200204         2.7
20200205         2.2
20200206         1.3
20200207         2.6
20200208         2.0
20200209         2.3
20200210         2.2
20200211         2.6
20200212         1.5
20200213         2.5
20200214         2.1
20200215         1.0
20200216         1.8
20200217         1.8
20200218         2.2
20200219         2.2
20200220         2.3
20200221         2.3
20200222         3.5
20200223         3.6
20200224         3.7
20200225         1.1
20200226         0.4
20200227         1.0
20200228         1.1
20200229         1.9
20200301         1.4
20200302         1.8
20200303         1.6
20200304         3.5
20200305         2.2
20200306         2.8
20200307         1.8
20200308         1.8
20200309         1.6
20200310         0.9
20200311         3.8
20200312         5.2
20200313         3.3
20200314         3.7
20200315         3.2
20200316         2.8
20200317         3.6
20200318         4.4
20200319         6.1
20200320         6.1
20200321         4.0
20200322         3.6
20200323         3.0
20200324         2.3
20200325         1.7
20200326         2.9
20200327         0.7
20200328         2.9
20200329         2.2
20200330         2.3
20200331         2.3
20200401         2.3
20200402         4.7
20200403         6.4
20200404         4.8
20200405         3.4
20200406         3.9
20200407         4.4
20200408         2.9
20200409         3.1
20200410         2.7
20200411         3.0
20200412         2.4
20200413         4.0
20200414         6.1
20200415         4.1
20200416         2.8
20200417         1.8
20200418         1.8
20200419         1.2
20200420         2.8
20200421         5.2
20200422         5.2
20200423         4.4
20200424         6.0
20200425         6.1
20200426         2.7
20200427         2.4
20200428         7.1
20200429         5.2
20200430         5.4
20200501         8.5
20200502         6.7
20200503         4.1
20200504         2.2
20200505         2.3
20200506         2.8
20200507         2.3
20200508         2.1
20200509         0.5
20200510         4.0
20200511         9.4
20200512         5.9
20200513        10.2
20200514         8.2
20200515         2.2
20200516         0.8
20200517         1.3
20200518         0.4
20200519         0.6
20200520         1.4
20200521         2.3
20200522         1.3
20200523         1.8
20200524         2.3
20200525         4.4
20200526         2.6
20200527         4.6
20200528         2.7
20200529         3.5
20200530         3.3
20200531         2.0
20200601         7.9
20200602         3.9
20200603         5.9
20200604         7.2
20200605         3.0
20200606         2.0
20200607         3.2
20200608         4.2
20200609         4.3
20200610         3.2
20200611         4.3
20200612         1.0
20200613         4.0
20200614         6.1
20200615        10.9
20200616         5.9
20200617         4.0
20200618         2.1
20200619         0.7
20200620         2.4
20200621         2.9
20200622         3.0
20200623         1.7
20200624         0.6
20200625         1.0
20200626         4.1
20200627         4.5
20200628         2.4
20200629         1.2
20200630         0.7
20200701         2.1
20200702         3.4
20200703         3.1
20200704         3.0
20200705         4.1
20200706         2.7
20200707         2.6
20200708         2.8
20200709         1.7
20200710         0.6
20200711         1.2
20200712         1.9
20200713         1.0
20200714         1.4
20200715         2.7
20200716         3.2
20200717         3.2
20200718         2.8
20200719         1.1
20200720         3.8
20200721         4.2
20200722         1.0
20200723         0.7
20200724         0.7
20200725         0.5
20200726         1.1
20200727         0.5
20200728         0.7
20200729         0.6
20200730         1.2
20200731         4.0
20200801         1.5
20200802         1.3
20200803         2.3
20200804         1.2
20200805         0.4
20200806         1.2
20200807         1.1
20200808         0.8
20200809         0.9
20200810         1.9
20200811         2.1
20200812         3.6
20200813         2.9
20200814         4.9
20200815         3.6
20200816         3.1
20200817         4.7
20200818         4.4
20200819         5.9
20200820         2.1
20200821         0.7
20200822         0.7
20200823         2.6
20200824         2.4
20200825         3.4
20200826         1.9
20200827         3.0
20200828         2.1
20200829         2.4
20200830         0.8
20200831         1.4
20200901         2.2
20200902         0.5
20200903         5.1
20200904         4.5
20200905         1.3
20200906         0.9
20200907         2.3
20200908         7.2
20200909         2.9
20200910         3.5
20200911         1.6
20200912         1.1
20200913         1.2
20200914         2.4
20200915         2.1
20200916         1.1
20200917         3.7
20200918         6.1
20200919         5.7
20200920         4.4
20200921         3.7
20200922         2.3
20200923         2.2
20200924         2.0
20200925         2.0
20200926         2.0
20200927         2.1
20200928         2.4
20200929         2.4
20200930         1.7
20201001         1.4
20201002         2.0
20201003         1.9
20201004         3.8
20201005         5.2
20201006         3.2
20201007         2.6
20201008         2.7
