코드,이름,북위,동경,관측소해발고도,기압계해발고도,기온계지상높이,풍속계지상높이,강우계지상높이
177,홍성,36.46,126.29,26.087,10.00,10.00,0.5
500,금산,50.80,110.0,100.0,3.0,1.0,10.0,0.5
090,속초,38.15,128.34,17.8,18.8,1.8,11.8,0.6
095,철원,38.09,127.18,154.2,154.5,1.8,12.9,0.5
098,동두천,37.54,127.04,112.5,112.4,1.7,14.1,0.6
099,문산,37.53,126.46,30.1,31.4,1.5,10.0,0.4
100,대관령,37.41,128.46,842.5,844.0,1.5,10.0,1.6
101,춘천,37.54,127.44,76.8,77.7,1.6,9.8,0.6
102,백령도,37.58,124.38,144.4,157.9,2.0,10.0,0.6
105,강릉,37.45,128.54,25.9,26.5,1.7,13.8,0.5
106,동해,37.30,129.08,39.6,37.5,1.5,10.0,0.6
108,서울(송월,37.34,126.58,85.5,86.2,1.5,10.0,0.2
112,인천,37.28,126.38,68.9,70.3,1.4,14.0,0.5
114,원주,37.20,127.57,149.8,150.5,1.6,10.0,0.5
115,울릉도,37.29,130.54,220.9,219.9,2.1,10.0,0.5
119,수원,37.16,126.59,33.6,34.8,1.5,20.0,0.7
121,영월,37.11,128.28,239.8,236.9,1.8,10.5,0.6
127,충주,36.58,127.57,69.1,70.7,1.5,10.0,0.5
129,서산,36.46,126.30,25.9,26.9,1.4,20.2,0.5
130,울진,36.59,129.25,49.4,50.6,1.8,13.0,0.6
131,청주,36.38,127.27,57.4,59.2,1.5,19.0,0.5
133,대전,36.22,127.22,68.3,71.5,1.6,22.8,0.6
135,추풍령,36.13,128.00,242.5,244.8,1.5,20.7,0.5
136,안동,36.34,128.43,139.4,141.4,1.5,10.0,0.6
137,상주,36.24,128.09,99.9,100.0,1.5,10.0,0.4
138,포항,36.02,129.23,1.9,3.6,1.6,15.2,0.6
140,군산,36.00,126.45,26.9,27.9,1.8,15.3,0.6
143,대구,35.53,128.37,57.6,59.0,1.5,10.0,0.6
146,전주,35.49,127.09,53.5,55.2,1.5,18.4,0.6
152,울산,35.33,129.19,34.7,35.5,1.5,12.4,0.6
155,마산,35.11,128.34,11.3,4.9,1.5,17.6,0.6
156,광주,35.10,126.54,70.5,73.7,1.5,17.5,0.6
159,부산,35.06,129.02,69.2,69.9,1.7,17.8,0.6
162,통영,34.51,128.26,31.7,32.7,1.5,15.2,0.6
165,목포,34.49,126.23,37.9,39.0,1.5,15.5,0.6
168,여수,34.44,127.45,66.1,67.3,1.5,20.8,0.6
169,흑산도,34.41,125.27,79.4,82.5,1.5,10.0,0.6
170,완도,34.24,126.42,34.9,35.4,1.5,15.4,0.6
175,진도,34.28,126.19,476.6,477.6,1.5,10.0,0.5

184,제주,33.31,126.32,20.0,22.6,1.5,15.0,0.5
185,고산,33.17,126.10,71.2,73.2,1.8,10.0,0.5
189,서귀포,33.15,126.34,50.5,52.4,1.8,10.0,0.5
192,진주,35.12,128.07,21.3,22.6,1.5,10.0,0.6
201,강화,37.42,126.27,45.7,47.0,1.5,9.7,0.6
202,양평,37.29,127.30,47.0,48.0,1.5,10.3,0.5
203,이천,37.16,127.29,77.8,79.8,1.5,10.0,0.5
211,인제,38.03,128.10,198.6,199.9,1.7,9.7,0.6
212,홍천,37.41,127.53,140.6,141.2,1.6,12.5,0.6
216,태백,37.10,128.59,713.4,714.7,1.5,16.0,0.6
221,제천,37.09,128.12,263.2,264.5,1.5,13.3,0.6
226,보은,36.29,127.44,174.1,175.5,1.5,10.0,0.5
232,천안,36.47,127.07,24.9,26.1,1.5,22.0,0.5
235,보령,36.19,126.34,15.3,17.0,1.5,22.0,0.5
236,부여,36.16,126.55,11.3,13.6,1.5,10.0,0.5
238,금산,36.06,127.29,171.3,172.9,1.5,10.0,0.6
243,부안,35.44,126.43,10.7,12.1,1.5,10.1,0.6
244,임실,35.37,127.17,246.9,248.0,1.5,10.0,0.6
245,정읍,35.34,126.52,44.1,45.6,1.5,18.4,0.5
247,남원,35.24,127.20,89.7,91.1,1.5,10.0,0.7
248,장수,35.39,127.31,407.0,408.3,1.5,10.0,0.6
256,순천,35.04,127.14,74.4,74.4,1.5,14.0,0.7
260,장흥,34.41,126.55,45.2,46.7,1.5,14.3,0.7
261,해남,34.33,126.34,13.7,15.3,1.5,10.0,0.6
262,고흥,34.37,127.17,53.3,55.0,1.5,10.0,0.6
265,성산포,33.23,126.53,18.6,20.5,1.8,10.2,0.6
271,봉화,36.56,128.55,321.5,322.9,1.5,13.0,0.6
272,영주,36.52,128.31,210.2,211.6,1.5,10.0,0.6
273,문경,36.37,128.09,170.4,171.0,1.5,10.0,0.6
277,영덕,36.32,129.25,41.2,42.5,1.6,10.0,0.6
278,의성,36.21,128.41,81.1,82.2,1.5,10.0,0.6
279,구미,36.08,128.19,47.9,49.3,1.5,10.0,0.5
281,영천,35.58,128.57,94.1,96.1,1.5,10.0,0.5
284,거창,35.40,127.55,220.9,222.6,1.5,10.0,0.6
285,합천,35.34,128.10,32.7,34.3,1.5,10.0,0.6
288,밀양,35.29,128.45,12.6,14.7,1.5,10.0,0.5
289,산청,35.25,127.53,138.6,140.5,1.5,16.5,0.6
294,거제,34.53,128.36,45.3,45.6,1.5,10.0,0.5
295,남해,34.49,127.56,44.4,45.7,1.5,10.0,0.5
